[0709/122455.599:INFO:CONSOLE(21172)] "THREE.WebGLRenderer 92", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.5.202506190548/static/build/three.js (21172)
[0709/122456.494:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.5.202506190548/static/libs/ColladaLoader.js (3660)
[0709/122456.515:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Usuario/Models/Job Shop/3d/cnc_vertical_machining_center_2_state_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.5.202506190548/static/init.js (255)
[0709/122456.515:INFO:CONSOLE(271)] "load end: file:C:/Users/Usuario/Models/Job Shop/3d/cnc_vertical_machining_center_2_state_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.5.202506190548/static/init.js (271)
[0709/122456.598:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.5.202506190548/static/libs/ColladaLoader.js (3660)
[0709/122456.608:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Usuario/Models/Job Shop/3d/worker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.5.202506190548/static/init.js (255)
[0709/122456.609:INFO:CONSOLE(271)] "load end: file:C:/Users/Usuario/Models/Job Shop/3d/worker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.5.202506190548/static/init.js (271)
[0709/122456.660:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.5.202506190548/static/libs/ColladaLoader.js (3660)
[0709/122456.664:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Usuario/Models/Job Shop/3d/truck.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.5.202506190548/static/init.js (255)
[0709/122456.664:INFO:CONSOLE(271)] "load end: file:C:/Users/Usuario/Models/Job Shop/3d/truck.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.5.202506190548/static/init.js (271)
[0709/122456.692:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.5.202506190548/static/libs/ColladaLoader.js (3660)
[0709/122456.693:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Usuario/Models/Job Shop/3d/pallet.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.5.202506190548/static/init.js (255)
